sale.amount	sale.date	occupancy	style	built	bedrooms	bsmt	ac	attic	area.base	area.add	area.bsmt	area.garage1	area.garage2	area.living	area.lot	lon	lat	assessed
200000	9/15/2005	101 (Single-Family / Owner Occupied)	1 Story Brick	1957	4	Full	Yes	None	1152	0	700	0	0	1152	6420	-91.509725	41.65971	180580
255000	9/19/2005	101 (Single-Family / Owner Occupied)	1 Story Brick	1959	4	Full	Yes	None	1524	420	500	528	0	1944	27443	-91.561297	41.650332	242120
183000	9/21/2005	101 (Single-Family / Owner Occupied)	1 1/2 Story Frame	1950	3	Full	Yes	None	874	0	0	0	264	1486	6250	-91.518967	41.657913	154980
260000	9/22/2005	101 (Single-Family / Owner Occupied)	Split Level Frame	1995	4	Full	Yes	None	750	484	575	726	0	2059	10492	-91.592657	41.647054	274840
147000	9/23/2005	113 (Condominium)	2 Story Condo	2002	3	None	Yes	None	588	90	0	462	0	1560	3427	-91.562853	41.648375	141190
148000	9/27/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1981	3	None	Yes	None	1168	156	0	264	0	1324	9525	-91.469307	41.66234	144140
129900	9/30/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1971	4	Full	Yes	None	888	0	600	288	0	888	9100	-91.589947	41.648658	129860
165000	10/1/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1958	3	Full	Yes	None	1184	0	350	0	624	1184	7800	-91.573078	41.652957	154710
212000	10/5/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	2000	3	Full	Yes	None	1391	0	0	535	0	1391	11100	-91.514518	41.657701	190640
199900	10/6/2005	113 (Condominium)	1 Story Condo	2004	3	Full	Yes	None	1230	0	950	454	0	1230	5974	-91.569692	41.644415	194410
88000	10/7/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1961	4	None	No	None	1152	0	0	0	352	1152	8125	-91.562857	41.648241	108640
323000	10/10/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1999	5	Full	Yes	None	738	418	900	688	0	2258	19240	-91.507588	41.665278	310900
116000	10/14/2005	101 (Single-Family / Owner Occupied)	Split Level Frame	1930	2	Full	No	Floor & Stairs	771	0	0	0	0	771	3780	-91.563971	41.649122	83830
135000	10/19/2005	113 (Condominium)	1 Story Frame	2001	3	Full	Yes	None	630	0	600	462	0	1187	3718	-91.5676	41.645675	141330
225000	10/21/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1975	4	Full	Yes	None	1396	0	900	484	0	1396	10455	-91.498876	41.658588	202890
98500	10/27/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1947	2	Full	Yes	Floor & Stairs	676	0	0	0	400	676	6250	-91.586814	41.656156	104470
140000	10/28/2005	113 (Condominium)	2 Story Condo	2003	2	Full	Yes	None	684	7	232	0	0	1375	4628	-91.464798	41.653334	131940
139900	10/31/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1978	4	Full	Yes	None	1022	0	700	336	0	1022	7576	-91.499663	41.665648	134250
132000	11/3/2005	113 (Condominium)	1 Story Frame	1999	2	None	Yes	None	1214	0	0	0	0	1214	5087	-91.514155	41.661149	128480
168000	11/8/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1970	3	Full	Yes	None	1242	0	800	0	0	1242	7700	-91.601488	41.649037	164590
310000	11/11/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1900	4	Full	Yes	Floor & Stairs	1312	0	0	0	0	2624	24300	-91.465006	41.65405	343080
139200	11/14/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1958	3	Full	Yes	None	864	0	700	0	252	864	6464	-91.598455	41.64702	136210
177000	11/15/2005	113 (Condominium)	1 Story Frame	1997	2	Full	Yes	None	1040	0	475	0	0	1040	9902	-91.546256	41.671484	153910
173000	11/19/2005	116 (Zero Lot Line)	1 Story Frame	1994	3	Full	Yes	None	1102	0	850	418	0	1102	6615	-91.464798	41.653334	170510
85000	11/28/2005	113 (Condominium)	1 Story Frame	1997	2	None	Yes	None	853	0	0	0	0	853	2750	-91.530054	41.678454	92750
143000	11/30/2005	113 (Condominium)	2 Story Frame	2002	2	Full	Yes	None	684	7	232	0	0	1375	5368	-91.507579	41.66687	139190
184900	12/1/2005	101 (Single-Family / Owner Occupied)	1 1/2 Story Frame	1962	3	Full	Yes	None	1008	0	0	0	484	1714	7592	-91.601488	41.649037	165840
82000	12/5/2005	113 (Condominium)	1 Story Frame	1996	2	None	Yes	None	869	0	0	0	220	869	3512	-91.513534	41.68122	85830
265000	12/9/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1996	5	Full	Yes	None	598	456	0	640	0	2332	13188	-91.503381	41.660669	290350
139900	12/12/2005	113 (Condominium)	2 Story Condo	2003	3	None	Yes	None	818	10	0	400	0	1746	4705	-91.547302	41.670533	141630
149000	12/16/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1900	3	Full	No	None	672	96	0	0	220	1440	6250	-91.555903	41.677138	159690
89000	12/19/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1900	1	Full	Yes	None	540	105	165	0	504	645	6050	-91.595199	41.649331	97510
88370	12/20/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1900	2	Full	No	None	720	0	0	0	0	720	6250	-91.598227	41.64738	91700
254500	12/21/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1965	3	Full	Yes	None	960	502	700	528	0	2422	11200	-91.474484	41.655186	239680
149900	12/28/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1935	3	Full	Yes	1/2 Finished	673	212	300	0	0	1121	5712	-91.501934	41.660113	132810
135000	12/30/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1961	3	Full	Yes	None	960	0	0	0	576	960	6250	-91.515454	41.68045	118650
223000	1/3/2006	101 (Single-Family / Owner Occupied)	1 1/2 Story Frame	1920	2	Full	No	None	672	223	100	0	264	1365	4000	-91.508072	41.641131	200490
252500	1/6/2006	116 (Zero Lot Line)	1 Story Frame	1992	3	Full	Yes	None	1629	0	1075	483	0	1629	7797	-91.577315	41.651056	237450
113000	1/11/2006	113 (Condominium)	2 Story Frame	1968	3	Full	Yes	None	672	0	0	0	0	1344	4882	-91.482311	41.658488	104680
140000	1/13/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1900	3	Full	Yes	1/2 Finished	784	84	100	0	0	1142	6000	-91.552396	41.650088	136930
169900	1/16/2006	113 (Condominium)	1 Story Frame	2001	2	Full	Yes	None	1017	0	700	412	0	1017	5368	-91.552397	41.650065	169780
136750	1/18/2006	113 (Condominium)	1 Story Brick	2004	1	None	Yes	None	530	0	0	0	0	530	137	-91.513196	41.658651	187380
124000	1/19/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1965	3	Full	Yes	None	1128	0	0	288	0	1128	7875	-91.499622	41.632421	149870
514750	1/20/2006	113 (Condominium)	1 Story Brick	2004	1	None	Yes	None	1619	0	0	0	0	1619	419	-91.501805	41.649179	526240
160000	1/25/2006	101 (Single-Family / Owner Occupied)	1 1/2 Story Frame	1910	2	Full	No	None	636	0	0	0	0	1081	6750	-91.521006	41.658539	136560
123000	1/31/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1954	3	Full	No	None	996	0	0	0	528	996	7700	-91.481891	41.65975	120360
233000	1/31/2006	113 (Condominium)	1 Story Brick	2004	1	None	Yes	None	1039	0	0	0	0	1039	269	-91.481602	41.65924	340040
94000	2/6/2006	113 (Condominium)	2 Story Frame	1978	2	None	Yes	None	612	0	0	0	0	1224	4040	-91.57805	41.655191	95120
204900	2/9/2006	101 (Single-Family / Owner Occupied)	2 Story Frame	1900	2	Full	No	None	784	144	0	0	0	1744	7500	-91.491005	41.629658	190850
254000	2/11/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1975	3	Full	Yes	None	2280	0	950	0	0	2280	15682	-91.491069	41.62996	250270
237900	2/14/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	2005	3	Full	Yes	None	1500	0	980	476	0	1500	7500	-91.522721	41.653172	230090
229000	2/17/2006	113 (Condominium)	1 Story Frame	1995	3	None	Yes	None	1675	0	0	416	0	1675	8787	-91.499552	41.647121	192230
75000	2/23/2006	113 (Condominium)	1 Story Frame	1982	2	None	No	None	767	0	0	0	0	767	1749	-91.521006	41.658539	73790
141000	2/27/2006	116 (Zero Lot Line)	2 Story Frame	1995	2	Full	Yes	None	412	200	100	400	0	1249	5625	-91.529557	41.650989	131780
155000	2/28/2006	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1994	3	Full	Yes	None	1224	0	400	0	0	1224	8125	-91.575531	41.643499	141840
180000	3/1/2006	101 (Single-Family / Owner Occupied)	2 Story Frame	1964	3	Full	Yes	None	720	30	325	336	0	1470	9520	-91.505932	41.648597	176190
132000	3/6/2006	116 (Zero Lot Line)	Split Foyer Frame	1991	3	Full	Yes	None	862	0	425	0	0	862	3724	-91.483146	41.656525	119080
105200	3/10/2006	113 (Condominium)	Split Foyer Frame	1984	2	Full	Yes	None	828	0	350	0	0	828	5046	-91.515802	41.657564	102060
127500	3/13/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1955	4	Full	Yes	None	816	0	700	0	0	816	7140	-91.517697	41.645644	127000
175000	3/15/2006	101 (Single-Family / Owner Occupied)	2 Story Frame	1930	3	Full	Yes	None	720	0	0	0	308	1440	12000	-91.484263	41.656864	165100
189900	3/20/2006	113 (Condominium)	2 Story Frame	1996	3	Full	Yes	None	482	278	625	400	0	1530	5515	-91.505256	41.636131	185040
212700	3/22/2006	101 (Single-Family / Owner Occupied)	Split Level Frame	2005	3	Full	Yes	None	586	462	0	440	0	1840	7200	-91.566012	41.638054	203630
248900	3/23/2006	101 (Single-Family / Owner Occupied)	2 Story Frame	1928	2	Full	Yes	None	550	564	0	0	672	1804	11088	-91.492184	41.64728	261410
170500	3/24/2006	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1974	4	Full	Yes	None	1326	0	600	0	0	1326	11021	-91.578375	41.653584	177380
275000	3/25/2006	101 (Single-Family / Owner Occupied)	Split Level Frame	2000	4	Full	Yes	None	674	682	360	506	0	2156	13680	-91.509374	41.649293	277860
216000	3/27/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1990	4	Full	Yes	None	1630	0	1150	588	0	1630	14300	-91.504777	41.646738	222800
134000	3/29/2006	113 (Condominium)	2 Story Condo	2003	2	Full	Yes	None	684	7	232	0	0	1375	4628	-91.572314	41.646439	131940
93800	3/30/2006	113 (Condominium)	1 Story Frame	1996	2	None	Yes	None	863	0	0	0	220	863	5515	-91.494635	41.651517	93600
195000	3/30/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	2001	4	Full	Yes	None	1278	0	1100	471	0	1278	8400	-91.572566	41.646631	205830
127000	3/31/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1964	3	Full	Yes	None	1040	0	450	308	0	1040	9180	-91.525427	41.647045	140670
159900	3/31/2006	101 (Single-Family / Owner Occupied)	1 1/2 Story Frame	1951	3	Full	No	None	740	0	0	0	384	1258	6440	-91.521778	41.647398	135700
125000	4/3/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1923	1	Full	Yes	None	602	112	0	0	352	714	6250	-91.515635	41.647421	127420
225000	4/3/2006	101 (Single-Family / Owner Occupied)	Split Level Frame	1993	3	Full	Yes	None	680	472	250	452	0	1966	8500	-91.50368	41.637827	214760
120000	4/6/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1958	3	Full	No	None	816	0	0	308	0	816	7300	-91.524921	41.646352	122760
157000	4/7/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1920	3	Full	Yes	None	1205	0	0	0	209	1205	9240	-91.568374	41.638387	128870
125000	4/10/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1962	2	Full	Yes	None	960	0	0	336	0	960	9800	-91.506025	41.656931	127610
176400	4/11/2006	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1973	4	Full	Yes	None	1227	0	450	0	0	1227	10183	-91.568408	41.639272	163020
192000	4/12/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1962	4	Full	Yes	None	1418	0	1050	460	0	1418	10000	-91.516239	41.63659	186380
189900	4/13/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1920	4	Full	No	3/4 Finished	672	144	0	180	0	1118	6250	-91.518953	41.644208	146750
158000	4/17/2006	101 (Single-Family / Owner Occupied)	1 1/2 Story Frame	1952	4	Full	Yes	None	650	0	300	242	0	1347	6750	-91.471251	41.65675	140940
172500	4/19/2006	113 (Condominium)	1 Story Condo	2003	2	Full	Yes	None	1017	0	700	412	0	1017	5974	-91.572103	41.647179	166740
123000	4/21/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1956	3	None	Yes	None	1481	0	0	0	0	1481	9126	-91.524774	41.646778	118020
124000	4/25/2006	113 (Condominium)	2 Story Frame	1992	2	Full	Yes	None	576	72	150	0	0	1224	3472	-91.551786	41.651816	127720
139900	4/26/2006	113 (Condominium)	2 Story Frame	1993	2	Full	Yes	None	691	0	175	0	0	1382	3505	-91.507556	41.650739	127560
119900	4/27/2006	113 (Condominium)	2 Story Condo	2005	2	None	Yes	None	564	0	0	240	0	1224	19463	-91.577538	41.644241	121140
117900	4/28/2006	113 (Condominium)	2 Story Condo	2005	2	None	Yes	None	564	0	0	240	0	1224	9230	-91.501802	41.648795	113920
325000	4/28/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1997	4	Full	Yes	None	1693	0	1100	480	0	1693	11625	-91.526534	41.657825	290350
80000	5/1/2006	113 (Condominium)	1 Story Frame	1997	2	None	Yes	None	857	0	0	0	220	857	5515	-91.550573	41.654869	91520
136000	5/1/2006	113 (Condominium)	2 Story Frame	1992	2	Full	Yes	None	576	72	150	0	0	1224	3469	-91.515146	41.653495	127920
215000	5/3/2006	101 (Single-Family / Owner Occupied)	1 1/2 Story Frame	1935	5	Full	Yes	None	660	332	450	0	0	1454	15200	-91.515915	41.648895	241780
132800	5/7/2006	113 (Condominium)	2 Story Frame	1992	2	Full	Yes	None	576	72	150	0	0	1224	3469	-91.511234	41.63634	127920
815000	5/8/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	2005	5	Full	Yes	None	2789	0	2500	877	0	3125	21740	-91.545559	41.681206	730330
311500	5/9/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1954	3	Full	Yes	None	912	0	825	440	0	912	55757	-91.483464	41.639529	302350
159900	5/10/2006	113 (Condominium)	1 Story Condo	2004	2	None	Yes	None	1404	0	0	452	0	1404	6842	-91.577753	41.644238	154640
204900	5/11/2006	101 (Single-Family / Owner Occupied)	2 Story Frame	1993	4	Full	Yes	None	451	341	600	404	0	1497	5640	-91.496768	41.654811	194720
154000	5/12/2006	113 (Condominium)	1 Story Frame	1995	3	Full	Yes	None	906	0	650	431	0	906	4185	-91.495195	41.64944	154170
57000	5/13/2006	113 (Condominium)	1 Story Frame	1982	1	None	Yes	None	532	0	0	0	0	532	3325	-91.487859	41.656176	55510
148000	5/15/2006	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1981	3	Full	Yes	None	1028	0	300	0	0	1028	6600	-91.526534	41.657825	131490
217700	5/15/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1940	4	Full	Yes	Fully Finished	784	552	0	484	0	2319	17640	-91.5164	41.662794	213010
233000	5/17/2006	113 (Condominium)	1 Story Brick	2004	1	None	Yes	None	1039	0	0	0	0	1039	269	-91.55831	41.648735	347900
132500	5/19/2006	101 (Single-Family / Owner Occupied)	2 Story Frame	1978	3	None	Yes	None	494	408	0	528	0	1572	16600	-91.525324	41.647313	155710
154900	5/19/2006	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1994	3	Full	Yes	None	1234	0	375	0	0	1234	8500	-91.526534	41.657825	156970
95000	5/22/2006	113 (Condominium)	2 Story Frame	1978	2	None	Yes	None	504	0	0	0	0	1008	4040	-91.522511	41.674433	90990
255000	5/22/2006	101 (Single-Family / Owner Occupied)	Split Level Frame	1963	4	Full	Yes	None	1474	0	1274	484	0	1522	10450	-91.520541	41.646823	277110
135000	5/23/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1923	3	Full	No	None	776	0	500	0	180	776	6250	-91.501865	41.667146	121810
126000	5/24/2006	113 (Condominium)	1 Story Frame	1996	2	None	Yes	None	1302	0	0	0	0	1302	5796	-91.512904	41.657726	127120
127900	5/25/2006	113 (Condominium)	1 Story Brick	1999	2	None	Yes	None	1299	0	0	0	0	1299	5515	-91.522131	41.646615	127270
189000	5/25/2006	101 (Single-Family / Owner Occupied)	Split Level Frame	1975	2	Full	Yes	None	1456	0	300	0	0	1456	10800	-91.48049	41.659492	186240
132900	5/26/2006	113 (Condominium)	1 Story Brick	1999	2	None	Yes	None	1347	0	0	0	0	1347	5515	-91.509288	41.656072	129000
339000	5/26/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1965	4	Full	Yes	None	1898	0	1575	704	0	1898	37620	-91.513364	41.648459	301560
126500	5/30/2006	116 (Zero Lot Line)	Split Foyer Frame	1995	4	Full	Yes	None	900	0	425	0	0	900	5625	-91.519833	41.643293	123560
180300	5/30/2006	116 (Zero Lot Line)	1 Story Frame	1992	3	Full	Yes	None	1134	0	875	380	0	1134	5895	-91.574569	41.644303	172270
93000	5/31/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1900	2	Full	No	None	728	0	0	0	0	728	5500	-91.517306	41.64038	85980
169000	5/31/2006	101 (Single-Family / Owner Occupied)	1 1/2 Story Frame	1930	3	Full	Yes	None	896	0	0	0	672	1523	6250	-91.526534	41.657825	163940
87000	6/1/2006	113 (Condominium)	1 Story Frame	1982	2	None	Yes	None	924	0	0	0	0	924	2977	-91.512904	41.657688	82880
138500	6/1/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1964	3	None	Yes	None	992	0	0	0	0	992	5900	-91.470442	41.659183	126460
160000	6/1/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1956	2	Full	No	None	1020	0	650	264	0	1020	8750	-91.512604	41.653304	159450
180600	6/1/2006	101 (Single-Family / Owner Occupied)	2 Story Frame	1922	3	Full	Yes	Floor & Stairs	624	316	0	0	360	1588	3200	-91.493386	41.65325	172940
282000	6/1/2006	101 (Single-Family / Owner Occupied)	2 Story Frame	1995	4	Full	Yes	None	1171	15	750	544	0	2394	9188	-91.480492	41.659507	294700
86500	6/2/2006	113 (Condominium)	1 Story Condo	2002	2	None	Yes	None	906	0	0	0	220	906	2563	-91.503613	41.656136	83920
159000	6/2/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1967	3	Full	Yes	None	1136	0	400	336	0	1136	9313	-91.520234	41.679442	158540
135000	6/5/2006	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1971	4	Full	Yes	None	888	0	674	288	0	888	9100	-91.508833	41.637752	128200
235000	6/5/2006	101 (Single-Family / Owner Occupied)	Split Level Frame	1977	3	Full	Yes	None	1324	338	225	0	0	1662	9840	-91.500035	41.655964	198200
143900	6/6/2006	116 (Zero Lot Line)	Split Foyer Frame	1990	3	Full	Yes	None	862	0	650	0	0	862	5938	-91.520234	41.679356	118880
97000	6/7/2006	113 (Condominium)	2 Story Frame	1978	2	None	Yes	None	612	0	0	0	0	1224	4040	-91.509899	41.636912	97040
162500	6/8/2006	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1977	3	Full	Yes	None	1189	0	500	0	0	1189	9310	-91.491349	41.62862	164650
151900	6/9/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1978	3	Full	Yes	None	1020	0	600	336	0	1020	9086	-91.520234	41.679486	146420
174500	6/12/2006	113 (Condominium)	2 Story Frame	2001	3	Full	Yes	None	484	280	600	440	0	1526	5138	-91.511201	41.65184	173160
138000	6/13/2006	113 (Condominium)	2 Story Condo	2002	2	Full	Yes	None	720	0	280	0	0	1440	3000	-91.573134	41.64843	137690
176400	6/14/2006	101 (Single-Family / Owner Occupied)	2 Story Frame	1969	4	Full	Yes	None	672	0	400	528	0	1344	9350	-91.483742	41.657984	167070
121000	6/15/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1955	4	Full	No	None	864	0	275	0	0	864	7420	-91.508704	41.633338	112570
236000	6/15/2006	101 (Single-Family / Owner Occupied)	Split Level Frame	2005	4	Full	Yes	None	586	462	500	440	0	1838	9168	-91.504414	41.633955	231710
167000	6/19/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1964	4	Full	Yes	None	1586	0	600	288	0	1586	12500	-91.508568	41.633337	168220
585000	6/19/2006	101 (Single-Family / Owner Occupied)	2 Story Frame	2003	4	Full	Yes	None	1520	48	775	910	0	3222	52272	-91.511463	41.664039	529030
119500	6/21/2006	113 (Condominium)	1 Story Frame	1994	2	None	Yes	None	1292	0	0	0	0	1292	4756	-91.573227	41.648787	119370
151200	6/21/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1956	2	Full	Yes	None	996	0	0	0	286	996	9000	-91.570028	41.640435	156250
114000	6/22/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1961	1	Full	Yes	None	780	0	650	308	0	780	10710	-91.492726	41.644467	114720
199000	6/22/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1930	4	Full	Yes	Fully Finished	712	709	0	0	240	2309	6875	-91.522427	41.664749	198900
107500	6/23/2006	113 (Condominium)	1 Story Frame	1997	2	None	Yes	None	857	0	0	0	0	857	2723	-91.568538	41.650388	96890
148000	6/23/2006	113 (Condominium)	2 Story Frame	2002	2	Full	Yes	None	684	0	232	0	0	1368	5368	-91.510084	41.637172	138620
220000	6/23/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	2002	4	Full	Yes	None	1496	0	860	458	0	1496	9600	-91.509637	41.651671	226640
157000	6/24/2006	113 (Condominium)	2 Story Frame	2001	3	Full	Yes	None	484	280	30	440	0	1534	8750	-91.528129	41.667818	164920
210200	6/26/2006	101 (Single-Family / Owner Occupied)	Split Level Frame	2005	3	Full	Yes	None	588	484	0	440	0	1974	8684	-91.523174	41.67948	213550
142000	6/27/2006	113 (Condominium)	2 Story Frame	1995	2	Full	Yes	None	691	0	175	0	0	1382	4980	-91.518307	41.64838	137520
260000	6/27/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1925	3	Full	Yes	None	1230	238	500	0	320	1468	12300	-91.514581	41.637514	266980
133500	6/28/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1962	3	None	Yes	None	1008	0	0	336	0	1008	11690	-91.519598	41.66788	125770
260000	6/28/2006	116 (Zero Lot Line)	1 Story Frame	1992	3	Full	Yes	None	1629	0	1075	483	0	1629	7797	-91.52451	41.65513	237450
135000	6/29/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1900	2	Full	Yes	None	875	0	300	240	0	875	7800	-91.572802	41.654475	127100
178000	6/29/2006	101 (Single-Family / Owner Occupied)	2 Story Frame	1917	3	Full	No	None	624	12	0	0	180	1260	3600	-91.526534	41.657825	169350
139500	6/30/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1962	3	Full	Yes	None	900	0	600	264	0	900	9000	-91.485098	41.654366	132250
208000	6/30/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1964	3	Full	Yes	None	1686	0	800	504	0	1686	34917	-91.489346	41.663909	228740
266500	7/2/2006	101 (Single-Family / Owner Occupied)	2 Story Frame	1970	5	Full	Yes	None	954	626	675	484	0	2543	25814	-91.471875	41.658832	251160
385000	7/3/2006	101 (Single-Family / Owner Occupied)	2 Story Frame	1924	3	Full	Yes	None	624	721	175	0	432	2385	10440	-91.572222	41.641257	358450
129900	7/6/2006	113 (Condominium)	1 Story Brick	1986	3	None	Yes	None	1092	0	0	0	0	1092	5040	-91.513515	41.637145	120960
58500	7/7/2006	113 (Condominium)	1 Story Frame	1982	1	None	Yes	None	532	0	0	0	0	532	3325	-91.52028	41.63626	55230
150000	7/7/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1926	3	Full	Yes	Floor & Stairs	1504	0	0	308	0	1504	5440	-91.486359	41.654356	145440
190000	7/7/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1958	4	Full	Yes	None	1270	0	600	0	416	1270	8000	-91.509495	41.659054	186000
124000	7/10/2006	113 (Condominium)	1 Story Condo	2003	2	None	Yes	None	1150	0	0	0	440	1150	5398	-91.521507	41.63585	119770
232500	7/10/2006	101 (Single-Family / Owner Occupied)	2 Story Frame	1900	3	Full	Yes	None	664	84	175	0	440	1412	5000	-91.4892	41.648089	208700
158000	7/11/2006	101 (Single-Family / Owner Occupied)	2 Story Frame	1900	3	Full	Yes	None	576	0	0	0	572	1152	6000	-91.572477	41.646774	166710
173500	7/12/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1956	4	Full	Yes	None	1246	0	850	0	400	1246	7980	-91.493774	41.644413	168320
121000	7/13/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1960	4	Full	No	None	1060	0	600	0	0	1060	10080	-91.51626	41.66583	126100
150000	7/13/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1959	4	Full	Yes	None	1196	0	800	312	0	1196	8400	-91.528431	41.667083	151420
127000	7/14/2006	113 (Condominium)	Split Foyer Frame	1987	3	Full	Yes	None	876	0	275	0	0	876	7974	-91.513706	41.629219	126080
167000	7/14/2006	113 (Condominium)	1 Story Frame	1999	3	None	Yes	None	1368	0	0	0	0	1368	5087	-91.485626	41.659885	159330
475000	7/14/2006	101 (Single-Family / Owner Occupied)	2 Story Brick	1893	7	Full	No	3/4 Finished	1462	0	0	0	0	3582	12400	-91.484095	41.660755	432110
345000	7/16/2006	101 (Single-Family / Owner Occupied)	2 Story Frame	1994	5	Full	Yes	None	1184	192	1000	528	0	2560	13980	-91.515848	41.62968	341760
142000	7/18/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1971	3	Full	Yes	None	888	0	600	288	0	888	15392	-91.545886	41.673332	131850
180000	7/19/2006	101 (Single-Family / Owner Occupied)	1 Story Frame	1959	5	Full	Yes	1/4 Finished	780	232	375	672	0	2071	10500	-91.497045	41.659489	183210
150400	7/20/2006	113 (Condominium)	2 Story Condo	2004	3	None	Yes	None	609	84	0	462	0	1596	5974	-91.523035	41.636817	144960
227000	7/21/2006	101 (Single-Family / Owner Occupied)	2 Story Frame	1972	4	Full	Yes	None	896	272	650	474	0	2064	13862	-91.541085	41.680591	213470
138000	7/24/2006	113 (Condominium)	Split Foyer Frame	1988	3	Full	Yes	None	862	0	425	0	0	862	5644	-91.490566	41.644082	127370
487500	7/24/2006	101 (Single-Family / Owner Occupied)	2 Story Frame	2002	6	Full	Yes	None	885	715	1200	785	0	2853	18368	-91.486389	41.648955	419020
98500	7/26/2006	113 (Condominium)	1 Story Condo	2004	2	None	Yes	None	858	0	0	0	440	858	5974	-91.496978	41.658952	98630
230000	7/26/2006	116 (Zero Lot Line)	Split Level Frame	1991	2	Full	Yes	None	860	490	0	441	0	1910	7850	-91.509273	41.661319	192120
162500	7/27/2006	101 (Single-Family / Owner Occupied)	2 Story Frame	1923	3	Full	Yes	None	686	0	0	0	288	1372	9025	-91.577748	41.649576	154460
72500	7/28/2006	113 (Condominium)	1 Story Frame	1982	2	None	Yes	None	924	0	0	0	0	924	2840	-91.577253	41.645795	72900
153000	7/28/2006	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1981	3	Full	Yes	None	1028	0	400	0	0	1028	6900	-91.553333	41.666476	138960
128900	7/31/2006	113 (Condominium)	1 Story Brick	1999	2	None	Yes	None	1299	0	0	0	0	1299	5515	-91.492646	41.655068	127270
